ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-04,34102.57847356,1622.1143484007027,102001.16923560904,34102.57847356,34102.57847356,17563.731425547772,17563.731425547772,17563.731425547772,-771.1187404048534,-771.1187404048534,-771.1187404048534,18334.850165952626,18334.850165952626,18334.850165952626,0.0,0.0,0.0,51666.30989910777
2020-01-05,34125.35675509963,-266.6693091377523,99463.42481491163,34125.35675509963,34125.35675509963,17339.468509302027,17339.468509302027,17339.468509302027,48.9131658765897,48.9131658765897,48.9131658765897,17290.555343425436,17290.555343425436,17290.555343425436,0.0,0.0,0.0,51464.82526440166
2020-01-06,34148.135036639265,527.5935273534043,100603.28535808652,34148.135036639265,34148.135036639265,15750.872970020631,15750.872970020631,15750.872970020631,-460.8173980774992,-460.8173980774992,-460.8173980774992,16211.690368098129,16211.690368098129,16211.690368098129,0.0,0.0,0.0,49899.0080066599
2020-01-07,34170.91331817889,4107.623477186708,107131.51414180013,34170.91331817889,34170.91331817889,21903.631390464434,21903.631390464434,21903.631390464434,6796.6661351779585,6796.6661351779585,6796.6661351779585,15106.965255286475,15106.965255286475,15106.965255286475,0.0,0.0,0.0,56074.54470864333
2020-01-09,34216.46988125815,-2766.0472826895466,95193.10301310314,34216.46988125815,34216.46988125815,11537.614098271324,11537.614098271324,11537.614098271324,-1319.393364539317,-1319.393364539317,-1319.393364539317,12857.007462810641,12857.007462810641,12857.007462810641,0.0,0.0,0.0,45754.083979529474
2020-01-10,34239.24816279778,-7917.542162207103,86645.22713802035,34239.24816279778,34239.24816279778,6500.634901454272,6500.634901454272,6500.634901454272,-5229.8752287888865,-5229.8752287888865,-5229.8752287888865,11730.51013024316,11730.51013024316,11730.51013024316,0.0,0.0,0.0,40739.883064252055
2020-01-11,34262.02644433741,-6144.089258142922,86434.6154774395,34262.02644433741,34262.02644433741,9843.908212687018,9843.908212687018,9843.908212687018,-771.1187403915895,-771.1187403915895,-771.1187403915895,10615.026953078608,10615.026953078608,10615.026953078608,0.0,0.0,0.0,44105.93465702443
2020-01-12,34284.80472587704,-2244.9839995103057,95959.02021185153,34284.80472587704,34284.80472587704,9567.726044944344,9567.726044944344,9567.726044944344,48.91316587985699,48.91316587985699,48.91316587985699,9518.812879064486,9518.812879064486,9518.812879064486,0.0,0.0,0.0,43852.53077082138
2020-01-13,34307.583007416666,-10895.049129093812,92233.11421155417,34307.583007416666,34307.583007416666,7988.397897207575,7988.397897207575,7988.397897207575,-460.81739806614,-460.81739806614,-460.81739806614,8449.215295273714,8449.215295273714,8449.215295273714,0.0,0.0,0.0,42295.980904624244
2020-01-14,34330.361288956294,-2392.7984325262564,99076.56024635513,34330.361288956294,34330.361288956294,14209.135450886852,14209.135450886852,14209.135450886852,6796.666135175312,6796.666135175312,6796.666135175312,7412.469315711537,7412.469315711537,7412.469315711537,0.0,0.0,0.0,48539.49673984315
2020-01-16,34375.917852035556,-10177.5439175918,85337.07589998154,34375.917852035556,34375.917852035556,4136.593120247152,4136.593120247152,4136.593120247152,-1319.3933645445263,-1319.3933645445263,-1319.3933645445263,5455.986484791679,5455.986484791679,5455.986484791679,0.0,0.0,0.0,38512.51097228271
2020-01-17,34398.69613357519,-17257.51384567319,79098.72112511593,34398.69613357519,34398.69613357519,-687.9356065098375,-687.9356065098375,-687.9356065098375,-5229.875228758619,-5229.875228758619,-5229.875228758619,4541.939622248782,4541.939622248782,4541.939622248782,0.0,0.0,0.0,33710.76052706535
2020-01-18,34421.47441511482,-11892.97084183802,86312.47940060763,34421.47441511482,34421.47441511482,2900.9279998391044,2900.9279998391044,2900.9279998391044,-771.1187404088159,-771.1187404088159,-771.1187404088159,3672.0467402479203,3672.0467402479203,3672.0467402479203,0.0,0.0,0.0,37322.402414953925
2020-01-19,34444.25269665445,-13336.092784231681,87679.05189975107,34444.25269665445,34444.25269665445,2894.4440827372496,2894.4440827372496,2894.4440827372496,48.91316586842869,48.91316586842869,48.91316586842869,2845.5309168688204,2845.5309168688204,2845.5309168688204,0.0,0.0,0.0,37338.6967793917
2020-01-20,34467.030978194074,-13799.883767549687,83315.11736710584,34467.030978194074,34467.030978194074,1599.456789446345,1599.456789446345,1599.456789446345,-460.8173980660185,-460.8173980660185,-460.8173980660185,2060.2741875123634,2060.2741875123634,2060.2741875123634,0.0,0.0,0.0,36066.48776764042
2020-01-21,34489.80925973371,-5059.044560953937,94689.38231253886,34489.80925973371,34489.80925973371,8109.616861114437,8109.616861114437,8109.616861114437,6796.666135172665,6796.666135172665,6796.666135172665,1312.9507259417705,1312.9507259417705,1312.9507259417705,0.0,0.0,0.0,42599.42612084815
2020-01-23,34535.365822812964,-16624.241103199474,85896.69633060486,34535.365822812964,34535.365822812964,-1405.5537073951386,-1405.5537073951386,-1405.5537073951386,-1319.3933645497361,-1319.3933645497361,-1319.3933645497361,-86.16034284540231,-86.16034284540231,-86.16034284540231,0.0,0.0,0.0,33129.81211541782
