ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-01-04,110.92257750000002,-19.87568354458178,252.39041516593596,110.92257750000002,110.92257750000002,6.4657192474967475,6.4657192474967475,6.4657192474967475,-2.13660683113235,-2.13660683113235,-2.13660683113235,8.602326078629098,8.602326078629098,8.602326078629098,0.0,0.0,0.0,117.38829674749677
2020-01-05,110.98644368627318,-25.32229165100167,255.59817222402341,110.98644368627318,110.98644368627318,2.0133786311086803,2.0133786311086803,2.0133786311086803,-4.065773718742583,-4.065773718742583,-4.065773718742583,6.079152349851262,6.079152349851262,6.079152349851262,0.0,0.0,0.0,112.99982231738186
2020-01-06,111.05030987254634,-32.48580726364173,253.09482462927082,111.05030987254634,111.05030987254634,4.218881530741892,4.218881530741892,4.218881530741892,0.6938632187115653,0.6938632187115653,0.6938632187115653,3.5250183120303267,3.5250183120303267,3.5250183120303267,0.0,0.0,0.0,115.26919140328823
2020-01-07,111.1141760588195,3.976993943526295,265.8220372859754,111.1141760588195,111.1141760588195,25.235328027817886,25.235328027817886,25.235328027817886,24.27327350001834,24.27327350001834,24.27327350001834,0.9620545277995453,0.9620545277995453,0.9620545277995453,0.0,0.0,0.0,136.34950408663738
2020-01-09,111.24190843136583,-39.28847818277584,233.51250927151375,111.24190843136583,111.24190843136583,-9.951226992339969,-9.951226992339969,-9.951226992339969,-5.858566260002891,-5.858566260002891,-5.858566260002891,-4.092660732337078,-4.092660732337078,-4.092660732337078,0.0,0.0,0.0,101.29068143902586
2020-01-10,111.30577461763899,-33.59960487573716,229.15580624515596,111.30577461763899,111.30577461763899,-15.574155514984714,-15.574155514984714,-15.574155514984714,-9.041036667167594,-9.041036667167594,-9.041036667167594,-6.53311884781712,-6.53311884781712,-6.53311884781712,0.0,0.0,0.0,95.73161910265428
2020-01-11,111.36964080391216,-40.39629130461352,242.70256933262777,111.36964080391216,111.36964080391216,-11.01795846947512,-11.01795846947512,-11.01795846947512,-2.136606831096363,-2.136606831096363,-2.136606831096363,-8.881351638378757,-8.881351638378757,-8.881351638378757,0.0,0.0,0.0,100.35168233443704
2020-01-12,111.43350699018532,-39.22589727195772,229.46977633902142,111.43350699018532,111.43350699018532,-15.178516661564919,-15.178516661564919,-15.178516661564919,-4.065773718730052,-4.065773718730052,-4.065773718730052,-11.112742942834867,-11.112742942834867,-11.112742942834867,0.0,0.0,0.0,96.25499032862041
2020-01-13,111.49737317645848,-40.418834676716806,229.80456738898891,111.49737317645848,111.49737317645848,-12.51061812996594,-12.51061812996594,-12.51061812996594,0.6938632187523568,0.6938632187523568,0.6938632187523568,-13.204481348718295,-13.204481348718295,-13.204481348718295,0.0,0.0,0.0,98.98675504649255
2020-01-14,111.56123936273165,-13.373124079348853,266.5403606834994,111.56123936273165,111.56123936273165,9.136992641118093,9.136992641118093,9.136992641118093,24.273273500005693,24.273273500005693,24.273273500005693,-15.1362808588876,-15.1362808588876,-15.1362808588876,0.0,0.0,0.0,120.69823200384975
2020-01-16,111.68897173527797,-50.654038425132256,222.3824432842418,111.68897173527797,111.68897173527797,-24.313941529290453,-24.313941529290453,-24.313941529290453,-5.8585662600115915,-5.8585662600115915,-5.8585662600115915,-18.455375269278864,-18.455375269278864,-18.455375269278864,0.0,0.0,0.0,87.37503020598751
2020-01-17,111.75283792155113,-53.51794794053404,221.52808758814845,111.75283792155113,111.75283792155113,-28.86117596290066,-28.86117596290066,-28.86117596290066,-9.0410366670624,-9.0410366670624,-9.0410366670624,-19.820139295838256,-19.820139295838256,-19.820139295838256,0.0,0.0,0.0,82.89166195865047
2020-01-18,111.81670410782431,-50.44467676245205,232.4180032479534,111.81670410782431,111.81670410782431,-23.117300516759784,-23.117300516759784,-23.117300516759784,-2.1366068311621134,-2.1366068311621134,-2.1366068311621134,-20.980693685597668,-20.980693685597668,-20.980693685597668,0.0,0.0,0.0,88.69940359106452
2020-01-19,111.88057029409747,-56.55230276651196,225.1326594976203,111.88057029409747,111.88057029409747,-26.002913514724078,-26.002913514724078,-26.002913514724078,-4.065773718765071,-4.065773718765071,-4.065773718765071,-21.93713979595901,-21.93713979595901,-21.93713979595901,0.0,0.0,0.0,85.87765677937338
2020-01-20,111.94443648037063,-51.66671370907475,226.4908890180247,111.94443648037063,111.94443648037063,-22.00050791250654,-22.00050791250654,-22.00050791250654,0.693863218758325,0.693863218758325,0.693863218758325,-22.694371131264866,-22.694371131264866,-22.694371131264866,0.0,0.0,0.0,89.94392856786409
2020-01-21,112.0083026666438,-22.871204439627512,238.09402020379397,112.0083026666438,112.0083026666438,1.011286293029961,1.011286293029961,1.011286293029961,24.273273499993046,24.273273499993046,24.273273499993046,-23.261987206963084,-23.261987206963084,-23.261987206963084,0.0,0.0,0.0,113.01958895967375
2020-01-23,112.13603503919012,-60.65743994526335,212.1786288772073,112.13603503919012,112.13603503919012,-29.747353596949843,-29.747353596949843,-29.747353596949843,-5.858566260020293,-5.858566260020293,-5.858566260020293,-23.888787336929546,-23.888787336929546,-23.888787336929546,0.0,0.0,0.0,82.38868144224028
2020-01-24,112.1999012254633,-61.02120628460884,220.59757497470076,112.1999012254633,112.1999012254633,-33.028994137493115,-33.028994137493115,-33.028994137493115,-9.041036667089523,-9.041036667089523,-9.041036667089523,-23.98795747040359,-23.98795747040359,-23.98795747040359,0.0,0.0,0.0,79.17090708797018
2020-01-25,112.26376741173645,-45.30314990137462,223.30182214462866,112.26376741173645,112.26376741173645,-26.11298862406451,-26.11298862406451,-26.11298862406451,-2.1366068311261253,-2.1366068311261253,-2.1366068311261253,-23.976381792938383,-23.976381792938383,-23.976381792938383,0.0,0.0,0.0,86.15077878767194
2020-01-26,112.32763359800961,-53.61002095322172,227.15073129702006,112.32763359800961,112.32763359800961,-27.94694400672944,-27.94694400672944,-27.94694400672944,-4.065773718761944,-4.065773718761944,-4.065773718761944,-23.881170287967496,-23.881170287967496,-23.881170287967496,0.0,0.0,0.0,84.38068959128017
2020-01-27,112.39149978428277,-42.387054400816204,219.01018670446405,112.39149978428277,112.39149978428277,-23.037092862287125,-23.037092862287125,-23.037092862287125,0.6938632187642976,0.6938632187642976,0.6938632187642976,-23.73095608105142,-23.73095608105142,-23.73095608105142,0.0,0.0,0.0,89.35440692199565
2020-01-28,112.45536597055595,-32.19120108124942,246.69174323266094,112.45536597055595,112.45536597055595,0.7182099895509819,0.7182099895509819,0.7182099895509819,24.27327350001078,24.27327350001078,24.27327350001078,-23.5550635104598,-23.5550635104598,-23.5550635104598,0.0,0.0,0.0,113.17357596010693
2020-01-30,112.58309834310226,-45.32543376938444,222.4002021581725,112.58309834310226,112.58309834310226,-29.10040348835142,-29.10040348835142,-29.10040348835142,-5.858566260000383,-5.858566260000383,-5.858566260000383,-23.241837228351034,-23.241837228351034,-23.241837228351034,0.0,0.0,0.0,83.48269485475085
2020-01-31,112.64696452937544,-55.621649709519716,217.81263475352668,112.64696452937544,112.64696452937544,-32.199924855537944,-32.199924855537944,-32.199924855537944,-9.041036667110776,-9.041036667110776,-9.041036667110776,-23.158888188427166,-23.158888188427166,-23.158888188427166,0.0,0.0,0.0,80.4470396738375
2020-02-01,112.7108307156486,-55.86822133142642,212.05366153968055,112.7108307156486,112.7108307156486,-25.294011183423542,-25.294011183423542,-25.294011183423542,-2.1366068310901416,-2.1366068310901416,-2.1366068310901416,-23.1574043523334,-23.1574043523334,-23.1574043523334,0.0,0.0,0.0,87.41681953222505
2020-02-02,112.77469690192176,-48.37933877728819,229.48059305345595,112.77469690192176,112.77469690192176,-27.323391762333404,-27.323391762333404,-27.323391762333404,-4.065773718796963,-4.065773718796963,-4.065773718796963,-23.25761804353644,-23.25761804353644,-23.25761804353644,0.0,0.0,0.0,85.45130513958836
2020-02-03,112.83856308819493,-41.69713375568157,223.0503229135855,112.83856308819493,112.83856308819493,-22.781908018165037,-22.781908018165037,-22.781908018165037,0.6938632186937312,0.6938632186937312,0.6938632186937312,-23.475771236858765,-23.475771236858765,-23.475771236858765,0.0,0.0,0.0,90.05665507002989
2020-02-04,112.90242927446809,-29.629947278667995,248.67472623448734,112.90242927446809,112.90242927446809,0.4496633545836107,0.4496633545836107,0.4496633545836107,24.273273499998133,24.273273499998133,24.273273499998133,-23.82361014541452,-23.82361014541452,-23.82361014541452,0.0,0.0,0.0,113.3520926290517
2020-02-06,113.03016164701441,-48.64730278367881,212.20530707521186,113.03016164701441,113.03016164701441,-30.789307684404495,-30.789307684404495,-30.789307684404495,-5.858566259997034,-5.858566259997034,-5.858566259997034,-24.93074142440746,-24.93074142440746,-24.93074142440746,0.0,0.0,0.0,82.24085396260992
2020-02-07,113.09402783328758,-62.57089240182588,216.43746771696783,113.09402783328758,113.09402783328758,-34.72942446216364,-34.72942446216364,-34.72942446216364,-9.041036667137897,-9.041036667137897,-9.041036667137897,-25.68838779502574,-25.68838779502574,-25.68838779502574,0.0,0.0,0.0,78.36460337112393
2020-02-08,113.15789401956074,-61.56665126663819,225.01400676289268,113.15789401956074,113.15789401956074,-28.70902095774681,-28.70902095774681,-28.70902095774681,-2.1366068311558903,-2.1366068311558903,-2.1366068311558903,-26.57241412659092,-26.57241412659092,-26.57241412659092,0.0,0.0,0.0,84.44887306181394
2020-02-09,113.2217602058339,-49.9256925192608,226.24004659489128,113.2217602058339,113.2217602058339,-31.635162661084102,-31.635162661084102,-31.635162661084102,-4.065773718736879,-4.065773718736879,-4.065773718736879,-27.56938894234722,-27.56938894234722,-27.56938894234722,0.0,0.0,0.0,81.5865975447498
2020-02-10,113.28562639210708,-47.56126593009801,225.65265962862952,113.28562639210708,113.28562639210708,-27.96748843306851,-27.96748843306851,-27.96748843306851,0.6938632186997002,0.6938632186997002,0.6938632186997002,-28.66135165176821,-28.66135165176821,-28.66135165176821,0.0,0.0,0.0,85.31813795903857
2020-02-11,113.34949257838024,-22.26352203695899,245.96600142984747,113.34949257838024,113.34949257838024,-5.553042269921029,-5.553042269921029,-5.553042269921029,24.273273500005708,24.273273500005708,24.273273500005708,-29.826315769926737,-29.826315769926737,-29.826315769926737,0.0,0.0,0.0,107.79645030845921
2020-02-13,113.47722495092657,-55.19416898588937,213.0369322925869,113.47722495092657,113.47722495092657,-38.12959063986996,-38.12959063986996,-38.12959063986996,-5.858566259977126,-5.858566259977126,-5.858566259977126,-32.271024379892836,-32.271024379892836,-32.271024379892836,0.0,0.0,0.0,75.34763431105661
2020-02-14,113.54109113719973,-69.78953257148214,201.35780244976925,113.54109113719973,113.54109113719973,-42.53382152104545,-42.53382152104545,-42.53382152104545,-9.041036667120915,-9.041036667120915,-9.041036667120915,-33.49278485392454,-33.49278485392454,-33.49278485392454,0.0,0.0,0.0,71.00726961615428
2020-02-15,113.60495732347289,-61.51198284813959,211.10726312298996,113.60495732347289,113.60495732347289,-36.80986534713115,-36.80986534713115,-36.80986534713115,-2.1366068311199045,-2.1366068311199045,-2.1366068311199045,-34.673258516011245,-34.673258516011245,-34.673258516011245,0.0,0.0,0.0,76.79509197634174
2020-02-16,113.66882350974605,-66.19495670269605,201.89560478011362,113.66882350974605,113.66882350974605,-39.8472119287644,-39.8472119287644,-39.8472119287644,-4.065773718771899,-4.065773718771899,-4.065773718771899,-35.7814382099925,-35.7814382099925,-35.7814382099925,0.0,0.0,0.0,73.82161158098165
2020-02-17,113.73268969601922,-49.986556739067005,220.17348841434628,113.73268969601922,113.73268969601922,-36.093272301325825,-36.093272301325825,-36.093272301325825,0.6938632187056714,0.6938632187056714,0.6938632187056714,-36.787135520031505,-36.787135520031505,-36.787135520031505,0.0,0.0,0.0,77.6394173946934
2020-02-18,113.79655588229238,-36.082398904472086,233.86345852682712,113.79655588229238,113.79655588229238,-13.388596723132077,-13.388596723132077,-13.388596723132077,24.273273499993067,24.273273499993067,24.273273499993067,-37.66187022312514,-37.66187022312514,-37.66187022312514,0.0,0.0,0.0,100.4079591591603
2020-02-20,113.92428825483873,-69.85154250693837,208.49921328470535,113.92428825483873,113.92428825483873,-44.776626891300594,-44.776626891300594,-44.776626891300594,-5.858566260043045,-5.858566260043045,-5.858566260043045,-38.91806063125755,-38.91806063125755,-38.91806063125755,0.0,0.0,0.0,69.14766136353813
